GPPractice/Area,Year,Age,Sex,AreaType,PracticeCode,PatientCount_Asthma,PatientCount_Atrial Fibrillation,PatientCount_Cancer,PatientCount_Chronic Kidney Disease (CKD),PatientCount_Chronic Obstructive Pulmonary Disease (COPD),PatientCount_Coronary Heart Disease (CHD),PatientCount_Dementia,PatientCount_Depression,PatientCount_Diabetes,PatientCount_Eating Disorder,PatientCount_Epilepsy,PatientCount_Heart Failure,PatientCount_Hypertension,PatientCount_Mental Health,PatientCount_Osteoporosis,PatientCount_Palliative Care,PatientCount_Peripheral Arterial Disease (PAD),PatientCount_Rheumatoid Arthritis,PatientCount_Stroke and TIA,Change_Asthma,Change_Atrial Fibrillation,Change_Cancer,Change_Chronic Kidney Disease (CKD),Change_Chronic Obstructive Pulmonary Disease (COPD),Change_Coronary Heart Disease (CHD),Change_Dementia,Change_Depression,Change_Diabetes,Change_Eating Disorder,Change_Epilepsy,Change_Heart Failure,Change_Hypertension,Change_Mental Health,Change_Osteoporosis,Change_Palliative Care,Change_Peripheral Arterial Disease (PAD),Change_Rheumatoid Arthritis,Change_Stroke and TIA,Rate_Asthma,Rate_Atrial Fibrillation,Rate_Cancer,Rate_Chronic Kidney Disease (CKD),Rate_Chronic Obstructive Pulmonary Disease (COPD),Rate_Coronary Heart Disease (CHD),Rate_Dementia,Rate_Depression,Rate_Diabetes,Rate_Eating Disorder,Rate_Epilepsy,Rate_Heart Failure,Rate_Hypertension,Rate_Mental Health,Rate_Osteoporosis,Rate_Palliative Care,Rate_Peripheral Arterial Disease (PAD),Rate_Rheumatoid Arthritis,Rate_Stroke and TIA
S - Yellow,2018,30-34,All,Cluster,,240,5,15,0,0,5,0,462,51,13,48,5,27,38,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,6.9,0.1,0.4,0,0,0.1,0,13.3,1.5,0.4,1.4,0.1,0.8,1.1,0,0,0,0.1,0
S - Yellow,2018,35-39,All,Cluster,,232,5,25,5,5,10,0,440,59,13,48,5,65,38,0,0,0,5,10,,,,,,,,,,,,,,,,,,,,7.4,0.2,0.8,0.2,0.2,0.3,0,14.1,1.9,0.4,1.5,0.2,2.1,1.2,0,0,0,0.2,0.3
S - Yellow,2018,40-44,All,Cluster,,204,5,22,5,18,18,0,370,82,23,64,5,106,46,0,0,0,5,10,,,,,,,,,,,,,,,,,,,,7.8,0.2,0.8,0.2,0.7,0.7,0,14.2,3.1,0.9,2.5,0.2,4.1,1.8,0,0,0,0.2,0.4
S - Yellow,2018,45-49,All,Cluster,,266,10,44,15,59,36,0,484,132,17,73,10,234,48,0,5,5,10,24,,,,,,,,,,,,,,,,,,,,9.3,0.4,1.5,0.5,2.1,1.3,0,16.9,4.6,0.6,2.6,0.4,8.2,1.7,0,0.2,0.2,0.4,0.8
S - Yellow,2018,50-54,All,Cluster,,297,17,86,27,119,100,0,505,216,21,74,23,380,66,0,10,15,25,49,,,,,,,,,,,,,,,,,,,,9.6,0.5,2.8,0.9,3.8,3.2,0,16.3,7,0.7,2.4,0.7,12.3,2.1,0,0.3,0.5,0.8,1.6
S - Yellow,2018,55-59,All,Cluster,,305,36,135,46,179,167,5,468,292,12,68,36,602,67,5,22,40,26,87,,,,,,,,,,,,,,,,,,,,10.2,1.2,4.5,1.5,6,5.6,0.2,15.7,9.8,0.4,2.3,1.2,20.1,2.2,0.2,0.7,1.3,0.9,2.9
S - Yellow,2018,60-64,All,Cluster,,269,62,162,68,239,241,10,366,320,12,70,61,755,47,5,25,59,36,119,,,,,,,,,,,,,,,,,,,,10.5,2.4,6.3,2.6,9.3,9.4,0.4,14.2,12.5,0.5,2.7,2.4,29.4,1.8,0.2,1,2.3,1.4,4.6
S - Yellow,2018,65-69,All,Cluster,,198,83,157,106,225,260,10,230,254,5,35,45,651,30,10,24,60,25,130,,,,,,,,,,,,,,,,,,,,11.1,4.6,8.8,5.9,12.6,14.5,0.6,12.9,14.2,0.3,2,2.5,36.4,1.7,0.6,1.3,3.4,1.4,7.3
S - Yellow,2018,70-74,All,Cluster,,126,85,169,130,187,250,24,114,244,0,37,64,621,28,19,25,61,22,144,,,,,,,,,,,,,,,,,,,,9,6.1,12.1,9.3,13.4,17.9,1.7,8.2,17.5,0,2.6,4.6,44.4,2,1.4,1.8,4.4,1.6,10.3
S - Yellow,2018,75-79,All,Cluster,,91,116,151,189,173,222,43,93,228,0,27,65,543,20,32,10,54,22,118,,,,,,,,,,,,,,,,,,,,8.6,10.9,14.2,17.8,16.3,20.9,4,8.8,21.5,0,2.5,6.1,51.1,1.9,3,0.9,5.1,2.1,11.1
S - Yellow,2018,80-84,All,Cluster,,93,113,100,185,117,193,67,57,139,0,24,69,465,14,32,15,36,12,142,,,,,,,,,,,,,,,,,,,,11.8,14.3,12.7,23.5,14.8,24.5,8.5,7.2,17.6,0,3,8.8,59,1.8,4.1,1.9,4.6,1.5,18
S - Yellow,2018,85plus,All,Cluster,,47,122,116,246,76,195,98,48,114,0,10,65,453,15,46,26,42,5,133,,,,,,,,,,,,,,,,,,,,6.3,16.3,15.5,32.8,10.1,26,13.1,6.4,15.2,0,1.3,8.7,60.4,2,6.1,3.5,5.6,0.7,17.7
S - Yellow,2018,All,All,Cluster,,3239,657,1195,1026,1401,1695,261,4132,2195,168,723,452,4920,480,151,162,375,202,976,,,,,,,,,,,,,,,,,,,,7.9,1.6,2.9,2.5,3.4,4.1,0.6,10.1,5.4,0.4,1.8,1.1,12,1.2,0.4,0.4,0.9,0.5,2.4
S - Yellow,2019,00-04,All,Cluster,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.4,,,,,,,,,,,,,,,,,,,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S - Yellow,2019,05-09,All,Cluster,,138,0,5,0,0,0,0,0,5,5,15,0,0,0,0,0,0,0,0,1.5,,0,,,,,,0,0,-31.8,,,,,,,,,5.8,0,0.2,0,0,0,0,0,0.2,0.2,0.6,0,0,0,0,0,0,0,0
S - Yellow,2019,10-14,All,Cluster,,142,0,0,0,0,0,0,5,10,0,23,0,0,0,0,0,0,0,0,-12.3,,,,,,,,,,15,,,,,,,,,6.2,0,0,0,0,0,0,0.2,0.4,0,1,0,0,0,0,0,0,0,0
S - Yellow,2019,15-19,All,Cluster,,119,0,0,0,0,0,0,24,10,10,23,0,0,0,0,0,0,0,0,-17.9,,,,,,,-4,-33.3,100,-4.2,,,,,,,,,5.7,0,0,0,0,0,0,1.1,0.5,0.5,1.1,0,0,0,0,0,0,0,0
S - Yellow,2019,20-24,All,Cluster,,180,0,5,0,0,0,0,137,15,10,44,0,5,10,0,0,0,0,5,-12.6,,,,,,,0.7,-25,-28.6,12.8,,0,100,,,,,0,6.9,0,0.2,0,0,0,0,5.3,0.6,0.4,1.7,0,0.2,0.4,0,0,0,0,0.2
S - Yellow,2019,25-29,All,Cluster,,206,0,10,0,0,0,0,354,23,21,48,0,15,15,0,0,0,0,5,5.1,,0,,,,,7.3,15,10.5,6.7,,50,0,,,,,0,6.4,0,0.3,0,0,0,0,11,0.7,0.7,1.5,0,0.5,0.5,0,0,0,0,0.2
S - Yellow,2019,30-34,All,Cluster,,253,5,15,0,0,0,0,460,48,14,45,5,21,34,0,0,0,0,5,5.4,0,0,,,-100,,-0.4,-5.9,7.7,-6.2,0,-22.2,-10.5,,,,-100,,7.3,0.1,0.4,0,0,0,0,13.3,1.4,0.4,1.3,0.1,0.6,1,0,0,0,0,0.1
