GPPractice/Area;Year;Age;Sex;AreaType;PracticeCode;PatientCount_Asthma;PatientCount_Atrial Fibrillation;PatientCount_Cancer;PatientCount_Chronic Kidney Disease (CKD);PatientCount_Chronic Obstructive Pulmonary Disease (COPD);PatientCount_Coronary Heart Disease (CHD);PatientCount_Dementia;PatientCount_Depression;PatientCount_Diabetes;PatientCount_Eating Disorder;PatientCount_Epilepsy;PatientCount_Heart Failure;PatientCount_Hypertension;PatientCount_Mental Health;PatientCount_Osteoporosis;PatientCount_Palliative Care;PatientCount_Peripheral Arterial Disease (PAD);PatientCount_Rheumatoid Arthritis;PatientCount_Stroke and TIA;Change_Asthma;Change_Atrial Fibrillation;Change_Cancer;Change_Chronic Kidney Disease (CKD);Change_Chronic Obstructive Pulmonary Disease (COPD);Change_Coronary Heart Disease (CHD);Change_Dementia;Change_Depression;Change_Diabetes;Change_Eating Disorder;Change_Epilepsy;Change_Heart Failure;Change_Hypertension;Change_Mental Health;Change_Osteoporosis;Change_Palliative Care;Change_Peripheral Arterial Disease (PAD);Change_Rheumatoid Arthritis;Change_Stroke and TIA;Rate_Asthma;Rate_Atrial Fibrillation;Rate_Cancer;Rate_Chronic Kidney Disease (CKD);Rate_Chronic Obstructive Pulmonary Disease (COPD);Rate_Coronary Heart Disease (CHD);Rate_Dementia;Rate_Depression;Rate_Diabetes;Rate_Eating Disorder;Rate_Epilepsy;Rate_Heart Failure;Rate_Hypertension;Rate_Mental Health;Rate_Osteoporosis;Rate_Palliative Care;Rate_Peripheral Arterial Disease (PAD);Rate_Rheumatoid Arthritis;Rate_Stroke and TIA
Dundee 3;2023;All;M;Cluster;;1133;392;512;382;641;947;111;733;1276;27;338;196;2506;289;5;22;221;61;470;3.5;0.3;0;7.6;0.6;0.5;-2.6;0.4;4.1;12.5;1.8;6.5;2.7;4.3;0;0;0.9;1.7;-1.7;5.4;1.9;2.5;1.8;3.1;4.6;0.5;3.5;6.1;0.1;1.6;0.9;12.1;1.4;0;0.1;1.1;0.3;2.3
Dundee 4;2018;00-04;M;Cluster;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dundee 4;2018;05-09;M;Cluster;;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dundee 4;2018;10-14;M;Cluster;;47;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;7.2;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0
Dundee 4;2018;15-19;M;Cluster;;46;0;0;0;0;0;0;5;11;0;12;0;5;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.8;0;0;0;0;0;0;0.5;1.1;0;1.2;0;0.5;0.5;0;0;0;0;0
Dundee 4;2018;20-24;M;Cluster;;100;0;5;0;0;0;0;33;11;0;10;0;0;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.2;0;0.2;0;0;0;0;1.4;0.5;0;0.4;0;0;0.2;0;0;0;0;0
Dundee 4;2018;25-29;M;Cluster;;85;0;5;0;0;0;0;42;13;5;10;0;5;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.3;0;0.3;0;0;0;0;2.1;0.7;0.3;0.5;0;0.3;0.3;0;0;0;0;0
Dundee 4;2018;30-34;M;Cluster;;69;0;5;0;0;0;0;58;13;5;16;0;10;17;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.7;0;0.3;0;0;0;0;4;0.9;0.3;1.1;0;0.7;1.2;0;0;0;0;0
Dundee 4;2018;35-39;M;Cluster;;55;5;11;0;0;0;0;51;18;0;12;0;11;15;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.5;0.4;0.9;0;0;0;0;4.2;1.5;0;1;0;0.9;1.2;0;0;0;0;0
Dundee 4;2018;40-44;M;Cluster;;54;0;13;0;5;5;0;54;27;0;16;0;37;17;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;5.6;0;1.3;0;0.5;0.5;0;5.6;2.8;0;1.7;0;3.8;1.8;0;0;0;0;0
Dundee 4;2018;45-49;M;Cluster;;65;5;18;5;16;13;0;59;43;0;15;0;101;17;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;6.3;0.5;1.7;0.5;1.5;1.3;0;5.7;4.1;0;1.4;0;9.7;1.6;0;0;0;0;1
Dundee 4;2018;50-54;M;Cluster;;74;10;20;5;33;26;0;57;68;0;20;0;140;18;0;0;5;0;15;;;;;;;;;;;;;;;;;;;;7;0.9;1.9;0.5;3.1;2.5;0;5.4;6.5;0;1.9;0;13.3;1.7;0;0;0.5;0;1.4
Dundee 4;2018;55-59;M;Cluster;;65;10;35;12;32;58;0;61;104;0;22;11;219;20;5;0;5;0;19;;;;;;;;;;;;;;;;;;;;6.7;1;3.6;1.2;3.3;6;0;6.3;10.7;0;2.3;1.1;22.5;2.1;0.5;0;0.5;0;2
Dundee 4;2018;60-64;M;Cluster;;51;23;43;16;54;84;0;41;107;0;12;10;283;15;0;0;18;14;25;;;;;;;;;;;;;;;;;;;;5.9;2.7;5;1.9;6.3;9.7;0;4.8;12.4;0;1.4;1.2;32.8;1.7;0;0;2.1;1.6;2.9
Dundee 4;2018;65-69;M;Cluster;;39;40;62;22;58;123;5;35;133;0;13;28;320;13;0;5;27;5;34;;;;;;;;;;;;;;;;;;;;5.3;5.4;8.4;3;7.8;16.6;0.7;4.7;18;0;1.8;3.8;43.3;1.8;0;0.7;3.7;0.7;4.6
Dundee 4;2018;70-74;M;Cluster;;27;54;64;46;65;123;11;25;129;0;14;26;336;10;0;5;24;10;62;;;;;;;;;;;;;;;;;;;;3.9;7.8;9.3;6.7;9.4;17.9;1.6;3.6;18.8;0;2;3.8;48.8;1.5;0;0.7;3.5;1.5;9
Dundee 4;2018;75-79;M;Cluster;;24;53;75;68;63;112;20;15;110;0;5;34;241;10;0;10;27;5;45;;;;;;;;;;;;;;;;;;;;5.4;12;17;15.4;14.3;25.4;4.5;3.4;24.9;0;1.1;7.7;54.6;2.3;0;2.3;6.1;1.1;10.2
Dundee 4;2018;80-84;M;Cluster;;10;48;34;43;35;89;27;14;60;0;5;25;160;5;5;0;20;0;43;;;;;;;;;;;;;;;;;;;;3.5;16.7;11.8;14.9;12.2;30.9;9.4;4.9;20.8;0;1.7;8.7;55.6;1.7;1.7;0;6.9;0;14.9
Dundee 4;2018;85plus;M;Cluster;;12;42;47;83;19;71;17;5;34;0;5;25;126;0;0;10;11;5;26;;;;;;;;;;;;;;;;;;;;5.6;19.5;21.9;38.6;8.8;33;7.9;2.3;15.8;0;2.3;11.6;58.6;0;0;4.7;5.1;2.3;12.1
Dundee 4;2018;All;M;Cluster;;862;287;442;303;381;706;82;551;883;17;190;164;1996;168;10;32;139;52;281;;;;;;;;;;;;;;;;;;;;5;1.7;2.6;1.8;2.2;4.1;0.5;3.2;5.1;0.1;1.1;1;11.6;1;0.1;0.2;0.8;0.3;1.6
Dundee 4;2019;00-04;M;Cluster;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dundee 4;2019;05-09;M;Cluster;;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-25.6;;;;;;;;;;;;;;;;;;;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dundee 4;2019;10-14;M;Cluster;;43;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;-8.5;;;;;;;;;;;;0;;;;;;;6.7;0;0;0;0;0;0;0;0;0;0.8;0;0.8;0;0;0;0;0;0
Dundee 4;2019;15-19;M;Cluster;;59;0;0;0;0;0;0;5;5;0;11;0;0;0;0;0;0;0;0;28.3;;;;;;;0;-54.5;;-8.3;;-100;-100;;;;;;5.7;0;0;0;0;0;0;0.5;0.5;0;1.1;0;0;0;0;0;0;0;0
